Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2022-05-27;1827.36;1832.19;1800.31;1810.68;24976537
2022-05-30;1829.08;1859.2;1827.52;1858.6;18906835
2022-05-31;1859.04;1862.95;1837.62;1842.93;70464191
2022-06-01;1846.59;1846.59;1818.87;1822.57;19653468
2022-06-02;1825.19;1840.38;1814.5;1833.76;15316085
2022-06-03;1845.65;1851.34;1812.39;1819.99;16457391
2022-06-06;1827.04;1851.22;1821.82;1849.55;10559942
2022-06-07;1838.63;1838.63;1816.4;1828.57;16203461
2022-06-08;1827.61;1830.66;1783.21;1792.8;19168996
2022-06-09;1793.03;1800.65;1762.92;1767.5;18438256
2022-06-10;1761.24;1761.24;1720.39;1725.18;18556186
2022-06-13;1704.52;1707.25;1674.39;1681.75;21751199
2022-06-14;1692.92;1706.5;1680.68;1704.07;22796304
2022-06-15;1707.38;1711.95;1672.46;1707.11;28385312
2022-06-17;1682.3;1706.17;1665.88;1676.67;47692825
2022-06-20;1684.09;1695.98;1678.23;1679.89;13563869
2022-06-21;1689.11;1719.05;1689.11;1719.05;16023928
2022-06-22;1700.92;1700.92;1667.82;1680.61;18238772
2022-06-23;1678.01;1690.32;1653.8;1654.32;16724714
2022-06-24;1659.92;1686.33;1654.61;1682.33;14819696
2022-06-27;1691.89;1715.62;1690.74;1713.18;17796280
2022-06-28;1722.58;1744.91;1722.58;1739.08;22323228
2022-06-29;1726.38;1738.6;1711.84;1733.19;20209877
2022-06-30;1720.32;1720.32;1689.04;1695.97;24266005
2022-07-01;1690.71;1717.96;1686.98;1688.85;17932916
2022-07-04;1695.14;1702.4;1665.59;1693.1;19283457
2022-07-05;1701.53;1706.1;1634.5;1644.46;21416391
2022-07-06;1649.5;1668.17;1629.79;1654.84;27222558
2022-07-07;1664.01;1716.56;1664.01;1708.8;21441575
2022-07-08;1707.55;1742.95;1698.13;1740.46;21824188
2022-07-11;1713.21;1725.66;1700.85;1714.56;26755623
2022-07-12;1707.7;1707.7;1663.05;1663.46;28021214
2022-07-13;1663.76;1678.86;1643.36;1655.65;21088822
2022-07-14;1655.76;1660.85;1601.32;1613.98;22608398
2022-07-15;1618.23;1634.31;1607.84;1620.13;14349380
2022-07-18;1632.83;1670.33;1632.83;1669.48;17498758
2022-07-19;1664.93;1681.28;1648.39;1679.27;15725532
2022-07-20;1688.47;1701.91;1678.74;1694.58;18264806
2022-07-21;1697.09;1702.4;1665.34;1683.09;17537259
2022-07-22;1677.44;1710.51;1677.44;1701.73;19751028
2022-07-25;1699.55;1708.72;1682.95;1685.62;14534025
2022-07-26;1677.62;1683.51;1646.3;1654.7;18824081
2022-07-27;1658.09;1670.03;1632.23;1651.89;24170124
2022-07-28;1661.43;1679.66;1652.86;1667.17;43984566
2022-07-29;1674.05;1721.11;1674.05;1721.11;35264023
2022-08-01;1723.75;1736.47;1714.65;1736.47;17726600
2022-08-02;1728.07;1728.48;1709.85;1713.61;20929200
2022-08-03;1702.13;1702.32;1679.92;1688.03;26680773
2022-08-04;1690.68;1697.16;1666.85;1674.37;27135908
2022-08-05;1685.3;1696.43;1643.02;1652.14;20530983
2022-08-08;1660.93;1695.78;1652.97;1695.78;17107654
2022-08-09;1695.54;1706.57;1682.49;1684.14;18163209
2022-08-10;1683.41;1702.17;1661.42;1694.11;19876119
2022-08-11;1705.23;1724.98;1690.24;1724.98;15942914
2022-08-12;1721.18;1737.25;1716.38;1735.07;16552361
2022-08-16;1739.62;1763.25;1730.05;1735;19652899
2022-08-17;1736.13;1736.8;1679.71;1682.93;19931686
2022-08-18;1683.89;1703.78;1672.48;1699.68;17686963
2022-08-19;1685.24;1698.82;1668.62;1673.4;22244791
2022-08-22;1669.2;1670.29;1630;1640.02;18508931
2022-08-23;1638.03;1667.41;1630.67;1656.77;34803232
2022-08-24;1655.38;1655.38;1616.14;1620.63;21709792
2022-08-25;1633.09;1650.7;1622.55;1632;26235784
2022-08-26;1635.66;1637.07;1596.06;1602.81;22812055
2022-08-29;1585.54;1585.54;1552.6;1573.35;21693935
2022-08-30;1578.24;1583.57;1532.85;1535.11;22574437
2022-08-31;1540.93;1548.25;1513.5;1528.22;49110518
2022-09-01;1522.52;1522.52;1462.59;1462.59;32437774
2022-09-02;1477.24;1506.54;1464.67;1505.75;35756213
2022-09-05;1496.88;1505.05;1482.29;1492.06;17618605
2022-09-06;1495.62;1504.64;1444.84;1452.86;23355729
2022-09-07;1445.54;1471.34;1431.36;1469.42;26613207
2022-09-08;1481.93;1494.98;1460.43;1473.18;23886627
2022-09-09;1487.5;1534.68;1487.5;1534.68;24748386
2022-09-12;1545.64;1561.98;1519.71;1561.97;22468627
2022-09-13;1569.03;1573.05;1515.19;1519.35;20718753
2022-09-14;1511.59;1531.76;1507.2;1528.29;20365590
2022-09-15;1533.17;1550.8;1523.79;1539.75;21703122
2022-09-16;1526.02;1529.2;1487.36;1501.91;65980080
2022-09-19;1498.57;1528.7;1496.79;1527.25;20046381
2022-09-20;1532.86;1546.5;1497.41;1497.41;18767383
2022-09-21;1495.76;1515.86;1488.25;1509.32;18511407
2022-09-22;1498.1;1526.89;1485.31;1518.19;16260020
2022-09-23;1518.03;1518.03;1453.76;1457.78;20614019
2022-09-26;1446.43;1450.7;1410.71;1433.08;33983566
2022-09-27;1443.23;1473.21;1443.23;1458.81;24474027
2022-09-28;1434.99;1440.66;1407.56;1435.37;27625844
2022-09-29;1446.35;1446.35;1375.19;1380.1;28897332
2022-09-30;1390.12;1396.76;1366.25;1377.91;30707088
2022-10-03;1379.8;1388.96;1344.02;1386.96;22655949
2022-10-04;1404.22;1449.81;1404.22;1449.81;28538316
2022-10-05;1449.73;1449.73;1418.03;1419.12;19373841
2022-10-06;1431.68;1449.55;1409.32;1417.82;22063616
2022-10-07;1414.41;1420.33;1398.86;1405.21;19811594
2022-10-10;1400.27;1400.29;1379.35;1379.49;22174183
2022-10-11;1377.66;1405.98;1360.7;1381.84;22459545
2022-10-12;1389.02;1391.14;1369.65;1377.19;30585927
2022-10-13;1378.57;1381.48;1337.71;1358.5;34529970
2022-10-14;1383.1;1409.55;1381.49;1397.23;30197595
2022-10-17;1400.06;1418.65;1384.6;1414.06;18743378
2022-10-18;1416.66;1440.9;1414.9;1427.68;32706525
2022-10-19;1430.17;1430.17;1395.73;1397.66;23562539
2022-10-20;1399.59;1429.16;1385.16;1426.52;34177300
2022-10-21;1421.96;1424.9;1397.28;1411.62;19440638
2022-10-24;1421.4;1445.85;1411.21;1433.21;21876696
2022-10-25;1438.79;1450.33;1422.44;1444.02;28561581
2022-10-26;1447.28;1487.6;1443.41;1487.6;26958268
2022-10-27;1489.37;1506.74;1474.43;1506.74;32523157
2022-10-28;1498.03;1516.82;1481.23;1508.7;49191032
2022-10-31;1511.96;1536.28;1506.41;1536.28;25373927
2022-11-02;1545.19;1573.97;1545.19;1573.97;31271842
2022-11-03;1553.61;1559.97;1538.04;1559.55;21905465
2022-11-04;1569.01;1612.09;1569.01;1601.27;28788061
2022-11-07;1605.03;1637.37;1600.71;1618.14;32832261
2022-11-08;1616.98;1644.75;1602.48;1644.75;19908655
2022-11-09;1643.42;1658.52;1638.45;1644.12;19875135
2022-11-10;1637.91;1692.72;1619.03;1690.38;26891723
2022-11-14;1697.88;1759.79;1697.88;1743.89;39847665
2022-11-15;1750.6;1784.76;1728.17;1769.55;28298319
2022-11-16;1747.81;1761.51;1731.46;1741.17;26924613
2022-11-17;1744.07;1750.96;1695.8;1708.23;25406383
2022-11-18;1709.68;1726.63;1689.34;1707.23;21001372
2022-11-21;1706.43;1706.47;1683.15;1685.5;20863822
2022-11-22;1687.07;1729.95;1681.78;1717.75;18175395
2022-11-23;1724.5;1737.75;1707.01;1713.61;19222341
2022-11-24;1724.66;1753.95;1721.85;1753.95;19393501
2022-11-25;1752.36;1764.57;1736.75;1755.69;15614476
2022-11-28;1748.68;1748.84;1728.74;1728.74;19482673
2022-11-29;1740.55;1744.71;1718.31;1736.19;27851833
2022-11-30;1741.22;1756.95;1727.88;1736.26;127493895
2022-12-01;1754.83;1766.38;1741.13;1766.38;34260461
2022-12-02;1765.02;1765.02;1730.43;1733.46;27956510
2022-12-05;1738.95;1766.04;1738.95;1746.54;14516580
2022-12-06;1741.86;1741.86;1722.72;1733.59;15849699
2022-12-07;1730.5;1739.05;1720.19;1735.66;14506821
2022-12-08;1735.17;1735.41;1715.72;1725.66;14817278
2022-12-09;1730.18;1735.76;1717;1730.16;15019500
2022-12-12;1729.82;1759.39;1714.22;1755.34;14740130
2022-12-13;1758.54;1803.6;1742.11;1784.67;22169301
2022-12-14;1785.11;1793.02;1778.37;1787.37;17004527
2022-12-15;1778.9;1778.9;1746.02;1756.52;18698018
2022-12-16;1746.54;1755.89;1726.58;1741.3;41764081
2022-12-19;1739.9;1754.27;1737.5;1743.24;12353029
2022-12-20;1732.8;1763.2;1724.41;1763.2;12410849
2022-12-21;1761.88;1786.56;1754.46;1786.1;15400718
2022-12-22;1786.63;1796.05;1774.71;1780.07;10579489
2022-12-23;1778.58;1782.76;1769.41;1780.27;8034718
2022-12-27;1788.67;1792.82;1762.64;1765.87;6876220
2022-12-28;1764.3;1776.98;1757.71;1767.88;10436182
2022-12-29;1768.98;1802.2;1763.44;1802.2;10649283
2022-12-30;1797.53;1797.86;1786.56;1792.01;8999274
